ano;sigla_uf;id_municipio;tipo_rebanho;quantidade
2019;MS;5006358;Galináceos - galinhas;9600
2019;MS;5006408;Galináceos - galinhas;6720
2019;MS;5006606;Galináceos - galinhas;28586
2019;MS;5006903;Galináceos - galinhas;6463
2019;MS;5007109;Galináceos - galinhas;15637
2019;MS;5007554;Galináceos - galinhas;6034
2019;MS;5007950;Galináceos - galinhas;6575
2019;MS;5008008;Galináceos - galinhas;1231850
2019;MS;5000203;Suíno - matrizes de suínos;60
2019;MS;5000252;Suíno - matrizes de suínos;314
2019;MS;5000609;Suíno - matrizes de suínos;1504
2019;MS;5000708;Suíno - matrizes de suínos;61
2019;MS;5000906;Suíno - matrizes de suínos;60
2019;MS;5001003;Suíno - matrizes de suínos;182
2019;MS;5001102;Suíno - matrizes de suínos;134
2019;MS;5001243;Suíno - matrizes de suínos;257
2019;MS;5001508;Suíno - matrizes de suínos;175
2019;MS;5001904;Suíno - matrizes de suínos;267
2019;MS;5002001;Suíno - matrizes de suínos;61
2019;MS;5002209;Suíno - matrizes de suínos;332
2019;MS;5002605;Suíno - matrizes de suínos;361
2019;MS;5002902;Suíno - matrizes de suínos;450
2019;MS;5003157;Suíno - matrizes de suínos;110
2019;MS;5003504;Suíno - matrizes de suínos;25
2019;MS;5003751;Suíno - matrizes de suínos;147
2019;MS;5003801;Suíno - matrizes de suínos;219
2019;MS;5004908;Suíno - matrizes de suínos;117
2019;MS;5005103;Suíno - matrizes de suínos;17337
2019;MS;5005152;Suíno - matrizes de suínos;93
2019;MS;5005202;Suíno - matrizes de suínos;5
2019;MS;5005400;Suíno - matrizes de suínos;867
2019;MS;5005707;Suíno - matrizes de suínos;1726
2019;MS;5006002;Suíno - matrizes de suínos;118
2019;MS;5006259;Suíno - matrizes de suínos;36
2019;MS;5006408;Suíno - matrizes de suínos;45
2019;MS;5006606;Suíno - matrizes de suínos;4655
2019;MS;5007109;Suíno - matrizes de suínos;267
2019;MS;5007307;Suíno - matrizes de suínos;87
2019;MS;5007406;Suíno - matrizes de suínos;126
2019;MS;5007976;Suíno - matrizes de suínos;223
2019;MS;5008008;Suíno - matrizes de suínos;890
1988;MS;5000203;Bovino;404428
1988;MS;5000609;Bovino;481881
1988;MS;5002704;Bovino;514584
1988;MS;5003108;Bovino;137182
1988;MS;5003157;Bovino;87903
1988;MS;5003454;Bovino;76199
1988;MS;5003504;Bovino;13410
1988;MS;5003751;Bovino;129642
1988;MS;5003801;Bovino;45147
1988;MS;5004106;Bovino;111100
1988;MS;5004403;Bovino;372498
1988;MS;5004502;Bovino;69333
1988;MS;5004601;Bovino;249230
1988;MS;5005202;Bovino;13495
1988;MS;5005608;Bovino;248700
1988;MS;5007109;Bovino;451016
1988;MS;5007406;Bovino;384992
1988;MS;5007950;Bovino;150136
1988;MS;5007976;Bovino;62328
1988;MS;5008008;Bovino;197090
1988;MS;5000609;Equino;5611
1988;MS;5000807;Equino;4637
1988;MS;5002001;Equino;2452
1988;MS;5002159;Equino;3000
1988;MS;5002209;Equino;4300
1988;MS;5002308;Equino;7758
1988;MS;5002407;Equino;6069
1988;MS;5002605;Equino;8339
1988;MS;5003108;Equino;1715
1988;MS;5003751;Equino;1463
1988;MS;5004502;Equino;1223
1988;MS;5004700;Equino;4166
1988;MS;5004908;Equino;2389
1988;MS;5005681;Equino;2075
1988;MS;5006309;Equino;9500
1988;MS;5006903;Equino;8000
1988;MS;5007505;Equino;1654
1988;MS;5000856;Caprino;270
1988;MS;5000906;Caprino;110
1988;MS;5001003;Caprino;220
1988;MS;5001904;Caprino;358
1988;MS;5002100;Caprino;600
1988;MS;5002209;Caprino;600
1988;MS;5002605;Caprino;143
1988;MS;5003157;Caprino;171
1988;MS;5003454;Caprino;282
1988;MS;5004403;Caprino;481
1988;MS;5004502;Caprino;228
1988;MS;5005004;Caprino;430
1988;MS;5005400;Caprino;51
1988;MS;5005608;Caprino;220
1988;MS;5006408;Caprino;669
1988;MS;5006606;Caprino;450
1988;MS;5006903;Caprino;2200
1988;MS;5007109;Caprino;135
1988;MS;5007406;Caprino;389
1988;MS;5007695;Caprino;65
1988;MS;5008305;Caprino;3520
1988;MS;5000203;Bubalino;404
1988;MS;5000708;Bubalino;600
1988;MS;5000807;Bubalino;544
1988;MS;5000856;Bubalino;952
1988;MS;5001243;Bubalino;230
1988;MS;5001904;Bubalino;305
1988;MS;5002100;Bubalino;250
1988;MS;5002209;Bubalino;700
1988;MS;5002308;Bubalino;659
1988;MS;5002803;Bubalino;245
1988;MS;5003157;Bubalino;175
1988;MS;5003306;Bubalino;170
1988;MS;5003454;Bubalino;298
1988;MS;5003702;Bubalino;104
1988;MS;5004304;Bubalino;1229
1988;MS;5004403;Bubalino;80
1988;MS;5005103;Bubalino;2133
1988;MS;5005400;Bubalino;70
1988;MS;5006903;Bubalino;350
1988;MS;5007901;Bubalino;478
1988;MS;5007950;Bubalino;514
1988;MS;5004304;Codornas;128
1988;MS;5007109;Codornas;20
1988;MS;5007901;Codornas;20
1988;MS;5000203;Suíno - total;5715
1988;MS;5000807;Suíno - total;3520
1988;MS;5001904;Suíno - total;3282
1988;MS;5003108;Suíno - total;4635
1988;MS;5003157;Suíno - total;3399
1988;MS;5003454;Suíno - total;5782
1988;MS;5003504;Suíno - total;3568
1988;MS;5003751;Suíno - total;3100
1988;MS;5004601;Suíno - total;3128
1988;MS;5005707;Suíno - total;4050
1988;MS;5005806;Suíno - total;6700
1988;MS;5006309;Suíno - total;34700
1988;MS;5006408;Suíno - total;9733
1988;MS;5007406;Suíno - total;6801
1988;MS;5007703;Suíno - total;8668
1988;MS;5007976;Suíno - total;2911
1988;MS;5008008;Suíno - total;5033
1988;MS;5000203;Galináceos - galinhas;9725
1988;MS;5001243;Galináceos - galinhas;14600
1988;MS;5001904;Galináceos - galinhas;14725
1988;MS;5002001;Galináceos - galinhas;7627
1988;MS;5002159;Galináceos - galinhas;11000
1988;MS;5002209;Galináceos - galinhas;10500
1988;MS;5002308;Galináceos - galinhas;25139
1988;MS;5003108;Galináceos - galinhas;11310
1988;MS;5003504;Galináceos - galinhas;9400
1988;MS;5003751;Galináceos - galinhas;17492
1988;MS;5004502;Galináceos - galinhas;16350
1988;MS;5004908;Galináceos - galinhas;15087
1988;MS;5006200;Galináceos - galinhas;12788
1988;MS;5006903;Galináceos - galinhas;7800
1988;MS;5007109;Galináceos - galinhas;4655
1988;MS;5007208;Galináceos - galinhas;23050
1988;MS;5007695;Galináceos - galinhas;27172
1988;MS;5007802;Galináceos - galinhas;8000
1988;MS;5007976;Galináceos - galinhas;6877
1988;MS;5008008;Galináceos - galinhas;545550
2005;MS;5001243;Bovino;65330
2005;MS;5002001;Bovino;198072
2005;MS;5002407;Bovino;152238
2005;MS;5002605;Bovino;488616
2005;MS;5002803;Bovino;267463
2005;MS;5003207;Bovino;1957141
2005;MS;5003256;Bovino;361509
2005;MS;5003306;Bovino;554583
2005;MS;5003488;Bovino;248605
2005;MS;5003504;Bovino;14623
2005;MS;5003751;Bovino;90800
2005;MS;5003801;Bovino;17050
2005;MS;5004106;Bovino;148131
2005;MS;5004304;Bovino;258460
2005;MS;5004502;Bovino;55123
2005;MS;5004809;Bovino;19500
2005;MS;5004908;Bovino;207933
2005;MS;5005004;Bovino;200635
2005;MS;5005251;Bovino;66655
2005;MS;5005707;Bovino;252445
2005;MS;5006002;Bovino;337395
2005;MS;5006200;Bovino;506990
2005;MS;5006358;Bovino;109514
2005;MS;5006606;Bovino;293203
2005;MS;5007307;Bovino;130290
2005;MS;5007406;Bovino;614100
