Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-10-31;11;73,2;939;25,6;16,2;2,5;
2019-11-30;27;138;937,6;24,9;10,2;2,2;
2019-12-31;23;216,4;938,3;23,9;8,2;1,9;
2020-01-31;null;null;null;24,7;6,9;null;
2020-02-29;24;32,4;938,9;24,3;6,7;1,8;
2020-03-31;6;33,4;939,4;24,9;6,2;1,7;
2020-04-30;null;null;941,5;22,9;7,6;1,7;
2020-05-31;null;null;943;18,9;7,8;1,4;
2020-06-30;null;null;942,6;21;7;1,6;
2020-07-31;null;null;942,5;20,8;6,4;1,7;
2020-08-31;null;null;942;22,5;9,5;2,1;
2020-09-30;null;null;940;26,7;9,1;1,9;
2020-10-31;null;null;938;26,7;10,3;2,2;
2020-11-30;null;null;938,6;25,3;9,6;2;
2020-12-31;null;null;null;24,5;9;null;

