Data,Cidade,Temperatura_C,Pressao_hPa,Umidade_Perc,Precipitacao_mm
2021-01-25,Três Lagoas,26.0,1011.8,0,0.3
2021-01-25,Corumbá,25.7,1008.6,0,10.1
2021-01-25,Ponta Porã,23.6,1011.5,0,14.4
2021-01-25,Aquidauana,26.1,1009.6,0,7.8
2021-01-26,Campo Grande,25.6,1009.3,0,1.7
2021-01-26,Dourados,25.4,1009.0,0,0.5
2021-01-26,Três Lagoas,27.3,1010.9,0,0.7
2021-01-26,Corumbá,26.9,1007.1,0,4.6
2021-01-26,Ponta Porã,24.6,1010.3,0,0.0
2021-01-26,Aquidauana,27.9,1008.3,0,0.0
2021-01-27,Campo Grande,23.7,1010.5,0,3.4
2021-01-27,Dourados,25.3,1008.8,0,10.5
2021-01-27,Três Lagoas,26.8,1011.2,0,1.1
2021-01-27,Corumbá,26.0,1008.2,0,13.9
2021-01-27,Ponta Porã,23.1,1010.8,0,10.5
2021-01-27,Aquidauana,26.1,1009.1,0,10.5
2021-01-28,Campo Grande,23.4,1009.8,0,5.2
2021-01-28,Dourados,23.7,1008.8,0,7.9
2021-01-28,Três Lagoas,25.0,1011.2,0,2.9
2021-01-28,Corumbá,25.4,1007.8,0,19.5
2021-01-28,Ponta Porã,23.5,1009.6,0,3.8
2021-01-28,Aquidauana,24.3,1008.8,0,18.7
2021-01-29,Campo Grande,23.7,1010.0,0,1.8
2021-01-29,Dourados,24.6,1008.8,0,1.5
2021-01-29,Três Lagoas,25.2,1011.7,0,0.1
2021-01-29,Corumbá,26.9,1007.3,0,0.5
2021-01-29,Ponta Porã,24.3,1009.9,0,0.7
2021-01-29,Aquidauana,26.2,1008.8,0,7.8
2021-01-30,Campo Grande,24.2,1011.2,0,10.0
2021-01-30,Dourados,25.7,1009.7,0,3.6
2021-01-30,Três Lagoas,25.1,1012.7,0,0.0
2021-01-30,Corumbá,27.8,1008.4,0,1.0
2021-01-30,Ponta Porã,25.2,1011.3,0,2.0
2021-01-30,Aquidauana,26.9,1009.7,0,4.8
2021-01-31,Campo Grande,24.1,1011.5,0,13.9
2021-01-31,Dourados,25.6,1010.4,0,1.5
2021-01-31,Três Lagoas,24.4,1013.0,0,0.5
2021-01-31,Corumbá,27.8,1008.8,0,0.5
2021-01-31,Ponta Porã,21.8,1012.6,0,6.3
2021-01-31,Aquidauana,27.5,1010.1,0,0.9
2021-02-01,Campo Grande,25.6,1010.4,0,3.2
2021-02-01,Dourados,25.1,1009.8,0,11.0
2021-02-01,Três Lagoas,26.5,1011.9,0,3.8
2021-02-01,Corumbá,28.6,1007.8,0,0.0
2021-02-01,Ponta Porã,24.1,1011.2,0,5.8
2021-02-01,Aquidauana,27.6,1009.1,0,2.9
2021-02-02,Campo Grande,26.5,1010.3,0,1.3
2021-02-02,Dourados,25.9,1010.3,0,5.9
2021-02-02,Três Lagoas,28.2,1011.4,0,0.1
2021-02-02,Corumbá,29.6,1008.0,0,1.1
2021-02-02,Ponta Porã,25.0,1012.1,0,2.8
2021-02-02,Aquidauana,27.5,1009.6,0,1.6
2021-02-03,Campo Grande,26.9,1011.6,0,4.2
2021-02-03,Dourados,26.8,1011.4,0,5.8
2021-02-03,Três Lagoas,29.0,1011.9,0,1.1
2021-02-03,Corumbá,27.7,1010.4,0,4.2
2021-02-03,Ponta Porã,25.4,1013.8,0,8.5
2021-02-03,Aquidauana,28.6,1010.9,0,0.5
2021-02-04,Campo Grande,23.6,1012.3,0,15.0
2021-02-04,Dourados,25.3,1011.9,0,6.5
2021-02-04,Três Lagoas,27.6,1010.9,0,9.3
2021-02-04,Corumbá,25.6,1012.0,0,3.7
2021-02-04,Ponta Porã,22.3,1014.5,0,6.1
2021-02-04,Aquidauana,26.4,1011.7,0,11.6
